category_list, market , funding_total_usd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,3102904 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,8147446 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|, Travel ,23000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical Devices|, Medical Devices ,100000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,1130130 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Big Data|, Big Data , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1647446 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|, Web Hosting ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Drones|Mobile|, Drones ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,714250 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Messaging|SMS|Mobile Payments|Mobile|, SMS ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cloud Management|Mobile|, Mobile ,105850000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|Fashion|, E-Commerce ,240000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Retail|Small and Medium Businesses|Real Estate|, Retail ,20000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Embedded Hardware and Software|, Embedded Hardware and Software ,89948 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,11035000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Public Relations|, Public Relations ,1480000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,11400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,27388500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,5838572 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,46922681 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Electronics|, Electronics ,3000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|News|, News ,200000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Classifieds|Marketplaces|Real Estate|, Marketplaces ,850000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business Services|Enterprise Software|, Business Services ,7500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Real Time|Audio|Swimming|Technology|Sports|, Sports ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Development|Legal|, Legal ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,57390000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,9000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,23572551 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|, Web Hosting ,50000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Media|Weddings|Social Media|, Media ,19600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,11000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,41752000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Big Data Analytics|, Big Data Analytics ,28000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11296138 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,50000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,63177 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Public Transportation|, Public Transportation ,10450218 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|B2B|SaaS|Software|, Software ,1800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Nanotechnology|, Nanotechnology ,2815213 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Messaging|3D|Games|Gamification|Incentives|Loyalty Programs|App Marketing|Mobile|, 3D ,900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|P2P Money Transfer|E-Commerce|, Finance ,78029000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Consulting|, Consulting ,8000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Photo Sharing|Search|Email|Social Network Media|Curated Web|, Photo Sharing ,6500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|App Marketing|Mobile Advertising|, Mobile Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Automotive|, Automotive , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Gps|Enterprise Software|, Gps ,23500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise 2.0|Mobile|Market Research|Software|, Mobile , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Content|Advertising|Digital Media|Software|, Software ,65501181 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|Cloud Infrastructure|Mobile|, Enterprise Software ,8000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,58000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video Games|, Video Games , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,620441 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Marketplaces|Freelancers|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|SaaS|Cloud Computing|Software|Big Data|Enterprise Software|, Big Data ,3000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,18905096 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,25000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,10097500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|, Web Hosting ,65000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,158000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Data Visualization|Machine Learning|Big Data|Artificial Intelligence|Analytics|, Data Visualization ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Logistics|E-Commerce|, Logistics ,85792 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,7000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Technology|Semiconductors|, Technology ,383850 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|, Analytics , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet of Things|M2M|Semiconductors|, Semiconductors , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Tutoring|Training|Education|, Tutoring , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1085452 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,6305369 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,18000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,8000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,116544093 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|App Marketing|Android|Location Based Services|Mobile|, Mobile ,6586383 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|CRM|Software|, Analytics ,28400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cloud Management|Enterprise Software|, Cloud Management ,15500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,745616 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,5479600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,1022160 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Wireless|Mobile|, Mobile , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Energy|Clean Technology|, Clean Technology ,52750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,9437265 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Automotive|Lead Generation|Lead Management|CRM|Software|, Automotive , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Storage|Enterprise Software|, Storage ,25000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,1130000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|News|, News ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Web Development|Collaboration|Real Time|Curated Web|, Web Development ,42660 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,25000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,2587500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Customer Service|Education|, Customer Service ,20000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education ,40000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education ,2435460 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Chat|iPhone|Messaging|Networking|Mobile|, Chat ,12800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,2381617 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Tools|Software|, Web Tools ,326000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,33000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|Networking|, Web Hosting ,494233 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,3000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Local|Mobile|, Local , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Journalism|Social Network Media|News|Social Media|, Journalism ,1250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hospitality|, Hospitality ,3000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|Music|, Music ,273453 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,525000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,4200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising Networks|Advertising|Mobile|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,24500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Financial Services|Location Based Services|Mobile|, Location Based Services ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Fashion|, Fashion , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,19900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Console Gaming|Online Gaming|Distribution|Film Production|TV Production|Broadcasting|Graphics|Web Development|Web Design|Digital Media|, Web Design ,3249513 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,950000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Startups|Consulting|Venture Capital|Finance|, Consulting ,10250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,1573905 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Productivity Software|, Productivity Software ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,90000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Entertainment|Games|, Entertainment , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Local|Information Technology|Discounts|Coupons|Sales and Marketing|Hotels|B2B|Android|iPhone|Mobile|Tourism|Travel|, Local ,702800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Content|Social Media|, Content ,1995000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|NFC|QR Codes|App Marketing|Content|Digital Media|Video|Audio|Advertising|Mobile|, NFC ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical Devices|, Medical Devices ,465000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel & Tourism|Online Travel|Travel|, Online Travel ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video Streaming|Video|Software|, Software ,340000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Analytics|, Analytics ,4300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile Advertising|Advertising|Wireless|, Mobile Advertising ,2077428 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|Social Network Media|Information Technology|Education|Public Relations|, Games ,800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Photography|Email|Portals|Search|Curated Web|, Photography ,6800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3925845 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Local|Social Media|Classifieds|Search|, Search ,641000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Real Estate|Architecture|Design|Curated Web|, Architecture ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Collaboration|Cloud Computing|Storage|File Sharing|Data Security|Web Hosting|, Cloud Computing ,600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education ,2450000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Gps|Mobile|, Gps ,30097 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|Curated Web|, Education ,700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Language Learning|Search|, Language Learning , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Twitter Applications|Networking|Social Media|Enterprises|Web Development|Enterprise Software|, Enterprise Software ,142000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|E-Commerce|Events|Hotels|Hospitality|, Events ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Transportation|Automotive|Energy|, Energy ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Productivity Software|Project Management|, Project Management ,70000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|E-Commerce|Big Data Analytics|Cloud-Based Music|Mobile Software Tools|Mobile Search|Email|Portals|Information Technology|Search|, Big Data Analytics ,5300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,5293000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Financial Services|, Financial Services ,8000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,17700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Data Mining|Product Search|Internet Technology|E-Commerce|, Internet Technology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Telephony|Telecommunications|Speech Recognition|Mobile|Audio|Messaging|, Speech Recognition ,12000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Photo Sharing|Video|Entertainment|News|Music|Sports|Celebrity|Social Media|Mobile|, Photo Sharing ,2300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Personalization|Education|, Personalization ,1688000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Network Media|Social Media|Social Business|Enterprise Software|, Enterprise Software ,3500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,20007587 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,120000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Networking|Location Based Services|Social Media|Chat|Mobile|Apps|Messaging|, Mobile ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,1487500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Web Development|Apps|Enterprise Software|, Mobile ,2000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Financial Services|Mobile Payments|Payments|Finance Technology|Finance|, Finance Technology ,53400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Tracking|Transportation|Travel|, Tracking ,24270000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Networking|Curated Web|, Curated Web ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Collaborative Consumption|Peer-to-Peer|Enterprise Software|, Collaborative Consumption ,1600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,8134000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Local|Marketplaces|Mobile|Curated Web|, Curated Web , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Automotive|, Automotive ,11502019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Local Search|Mobile|Advertising|Local|Search|, Local ,4601314 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video|Advertising|, Video ,7250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Events|Networking|Mobile|Social Media|, Social Media ,435000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,144814 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Networking|, Networking , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Android|iPhone|Mobile Video|Media|Mobile|Digital Media|Video Streaming|News|, Android ,1635285 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Project Management|Tracking|Software|, Software ,690000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Leisure|Marketplaces|Curated Web|, Curated Web , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Telecommunications|Software|, Software ,5835291 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,2500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semantic Search|Search|, Search ,1602720 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Local|Social Network Media|Communities|Social Media|, Social Media ,330000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|, Travel ,45000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,19540000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,4431588 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|iPhone|Facebook Applications|Social Games|Gambling|Games|, Facebook Applications , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1569037 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,4143045 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,103000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,1750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Digital Signage|Digital Media|Software|, Software ,41500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Financial Services|Investment Management|Finance|Visualization|Stock Exchanges|Analytics|, Investment Management ,8650000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|E-Commerce|, Software ,374967 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,10287401 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising Platforms|Ad Targeting|App Marketing|Media|Performance Marketing|Mobile Advertising|Games|Mobile|, Games ,15000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprises|Software|, Enterprises ,1163755 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education ,610000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Sports|Home & Garden|Mobile|Online Shopping|Gift Card|Jewelry|Shoes|Fashion|, Shoes ,40180000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Search|, Search ,600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
